rank, address, quantity, percentage
1, Venus: vFIL Token, 251962.16683100490081566, 4.1238
2, BSC: Token Hub, 149894.48275597, 2.4533
3, 0x7dcc03aa0129b8b07f2c323391f8abb0afb76c52, 149439.993584754197142103, 2.4458
4, 0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe, 140053.888, 2.2922
5, dForce: iFIL Token, 119811.077098055816367254, 1.9609
6, MaskEX 3, 111819.340329085676662331, 1.8301
7, 0x4aa6823963eb48bc1c931f342f8c83712400454b, 106390.445677874689178917, 1.7413
8, 0x52a499333a7837a72a9750849285e0bb8552de5a, 94985.693586566088177915, 1.5546
9, 0x8ac5f00610ca1d0f3c6c1462378792c99469b38a, 88938.62087, 1.4556
10, 0x7a63415745ea446c930e1582e814af341c75a33a, 75237.87198, 1.2314
11, 0x1f06c7e323bc3a5c94bb6b760c128830cdf6adfb, 74781.933522149107319269, 1.2239
12, 0x45a829eaeba1086495b3334c9eb414a6e4da2d70, 72844.798, 1.1922
13, 0xc510e553e70187ae5e823ccbe442c7f070643ef2, 63861.21757, 1.0452
14, 0x47ce50339162b2374dfb1dff0d7915804a2be665, 60932.041514238852172497, 0.9973
15, 0x46533f26eb4080e2050e3f8a3014aedf7b5fdb12, 59999.983, 0.9820
16, 0xd9bccbbbdfd9d67beb5d2273102ce0762421d1e3, 59102.741692685980922772, 0.9673
17, 0xbc4d30e2259bd3e853f5615ebce857eeaa4ebea7, 57579.344893041469101983, 0.9424
18, 0x2d196d7643ef097eb9e248387b96ca6afdd1eb2c, 53849.095721865245032509, 0.8813
19, FENG SHUI COIN: Deployer, 53238.166290900853757462, 0.8713
20, 0xedd585b2ea9406eb769b09af53333a82f53af035, 50487.244246436924335659, 0.8263
21, 0x90c183ae296ebd3b46c0a6c72de43ae32dc13e5e, 37253.98375, 0.6097
22, 0x7b1e5611f27004ec59c36aa38d3b772579577a89, 35718.25800001, 0.5846
23, 0x8bf6fd55845d30c4a5befe7e0ac046005e29a3ce, 31148.83958735, 0.5098
24, 0x7f4b2cb5c94a3618a4d77113c082e82a07da0553, 28293.110102880646271891, 0.4631
25, 0x379d16a0dd3ca0e8b9a96fc2ccf372d75ea39a8c, 25000, 0.4092
26, 0x878563de2b21f7604fb795759017ae2846c88885, 24994.464371009793561625, 0.4091
27, 0x748e75bc06ea5e18722a18e1373c6794f4969c45, 24965, 0.4086
28, 0x59a32bee18633ee53a5aeee28f2affd4ba47024f, 23488.272855440034195972, 0.3844
29, Binance: Hot Wallet 6, 23162.258324554771082627, 0.3791
30, 0x4bda629a6987fbe56120e8e9d3b49dfa6d5711ad, 22279.81984, 0.3646
31, 0x29a1b07a62243d44d64364a2377fbdce91e1cece, 21100.227165985970864507, 0.3453
32, 0xc001545e27b759660dc4330f270eaeee368e5dc1, 20550.392477331897628544, 0.3363
33, 0x300ea6b990376a8730505d1502537b4b35c9dfcd, 20000, 0.3273
34, 0x032c701886ad0317f0e58c8f4a570c6f9c0bbf4a, 19651.561699378829818852, 0.3216
35, 0x551568a9430b888f93d31fa6df4973c55a6c667d, 19614.892588, 0.3210
36, 0x7e509e57e6f4e04aaf27a60dcc97b79f9bc57cff, 19318.046340009999819776, 0.3162
37, 0x8cdd1dab2b16fed62e091734db6cb014af9caf49, 17747.96274058, 0.2905
38, 0xbda96b765ab445394fbd8a128c7fafa13f85e9b3, 17392.43907, 0.2847
39, 0xe4276043484881c19c78d0276dee1350eb36cdb5, 15140.256926624486728284, 0.2478
40, PancakeSwap V2: FIL-4.0v2, 14204.464593821595668278, 0.2325
41, 0xaf46b1dc233d2861a892d08c142087113b5ae218, 14116.9, 0.2310
42, 0x4d5fa1839aed8dce51c5fe3bc23f4fc08e02702e, 13657.09206680000003, 0.2235
43, 0xd952c06cd22361ce5538d357b8f4f09f6f198641, 13651.680453558871886629, 0.2234
44, 0xda4f0b12e01660fa4ad1c2a0f47457e7c438bed4, 13443.75676, 0.2200
45, 0xceb28c35e07ce9d37995b36ea4351d02d8b87873, 13000.257401916683037981, 0.2128
46, 0x6e4cb088a3de9643fe9c7203a18c8d271bc5411e, 13000, 0.2128
47, 0xca6769d96762fa4cf0256eb4e1d11d9cf6f6a85c, 12988.118499, 0.2126
48, 0x6270deadddf25ccc6e87993016d0cd886c1a67d9, 12936.262953, 0.2117
49, MaskEX 12, 12870.65, 0.2106
50, 0xe98b9b52060eb1ad70204bb9b39bf912d91c9915, 12503, 0.2046
51, YouHodler 1, 12250.939347395500485184, 0.2005
52, 0x13f2653beb7f8207c96649aa28da45e2d0823e92, 12029.595078, 0.1969
53, 0xd17ed6e80c7642ce369a44702b373ce54b5ee6bb, 11943.81038, 0.1955
54, 0xd492728acfa6ae0cab41b414532c529815e8028e, 11289.7503, 0.1848
55, 0x366d8e4e322ce5a5cdb644d6a20ed04b67a372a4, 11253.3452, 0.1842
56, 0x5fca0380a98444b01d9417ea2128bfd50adeca25, 10936.76485, 0.1790
57, 0xe06285b497ac3e0f35d76951855fd551922baaf7, 10855.937826, 0.1777
58, 0x8fdd8c62bc013ec7ca31f6f0d366a2784778400d, 10801.91398182451410946, 0.1768
59, 0x6666bb5239b97655b4f91dd24096a14ca10f4143, 10800.371949051648385103, 0.1768
60, 0xc25f819ec68dca18f3fe617a8040364e2f757d5e, 10706.881798993726643066, 0.1752
61, 0x3b580547b26c068dc12872bf94bd332d435e2992, 10626.080758401171374153, 0.1739
62, 0x681790189ed7ff6df59b4b1f760f9546e7e04732, 10365.653266009522163053, 0.1697
63, 0xb64544f555cce219ea362abd5fb8dc70d8c7f4a8, 10143.76359, 0.1660
64, 0xf0082c4e3f5f502c33c940d04f764ea239db26a8, 10139.86847, 0.1660
65, 0x706197702882dea69cd8c700dd1cc99d9c0dbd05, 10001.926, 0.1637
66, 0xf5869ae75d255db16d69974e1b72c936f2d2d61f, 10001.062, 0.1637
67, 0xea82b29fb271037419f3f0d5f83f8f08699a1b42, 10000.978, 0.1637
68, 0x66f7a27c209b2483dca3dc364648a026b04f6e0a, 9989.966, 0.1635
69, 0x51e2678e7fb29d2e5f201d41cf3417b4c1aa72ba, 9835.58192503, 0.1610
70, 0x36cb12ababb149df44a4b1a2741e20c6d1a5e2bd, 9763.593780328928043106, 0.1598
71, 0xcaec8648dbac41b6504a8e408892931796d67d87, 9584.652993899236287604, 0.1569
72, 0xf6355067ce4830d1a3619311f68c0f8d8bbe1228, 9490.921, 0.1553
73, 0x1d894099b81e178c63cb558b6aaa5dd79ebd4da7, 9439.6906, 0.1545
74, 0x957d53722e2ceac44703bf8f68d157cfc73bcdca, 9260.528258715918329248, 0.1516
75, 0x487e23d31d0100791309baae0a909141e439e4ab, 9233.9368, 0.1511
76, 0x185dc1b737e69f1c65876f0122c3a868ae55c57f, 9215.033544, 0.1508
77, 0xc175ad4523ee23581e08a50bc1d4980fe63af0a7, 9018.162024, 0.1476
78, 0x155792f69b81eef98ec2e3bb54ba5314f6687eeb, 8997.88020312, 0.1473
79, 0xb7e97a3c9d75f81931fe1159b5a917535e35252e, 8951.42933649, 0.1465
80, 0x422965b9514fff24ef2f2f42205779a40ef6284f, 8547.624, 0.1399
81, 0xaa3b1fdc3aa57bf24418e397f8c80e7385aaa594, 8425.831916823631241172, 0.1379
82, 0x89934cf95c8ffa4d748b3a9963fad13dba52c52f, 8248.647170385623574922, 0.1350
83, 0x6a116b531eb60d4f5e2ab31fbcaec5c962865f87, 8099.9518, 0.1326
84, 0xefafad131feb58fffd1ccb7937495ec5025f205a, 8000.14133, 0.1309
85, 0xacd609701dec8f20a611e77c93814aa529a04cc8, 7621.204926567550949521, 0.1247
86, 0x6831914fe5bada59c46cb8670038dc67dd7b988a, 7591.43194, 0.1242
87, 0xb5fb13e5cc8906e9e4eaf36ad73a2ff05669f2fe, 7533.921492496614071105, 0.1233
88, 0xec7e706bef9f1d4b9db3492aa2d551a6cd7884c4, 7527.3972, 0.1232
89, 0x19509351621ca7e26347169ab95b8d106c46f56e, 7482.5315, 0.1225
90, 0xb106aea14e33e65a28c863d8e954e31ae1c77427, 7469.943, 0.1223
91, 0x1a248a3bc16cedf5747246d29ebefa8b1b9f506c, 7336.45340172, 0.1201
92, 0xc2ea576699359240338d8ad06833b6bc9286dd6b, 7259.97358464, 0.1188
93, 0x6e8675d30459f5ff9fd73c4f11ec87135c744592, 7200, 0.1178
94, 0x590e3258d27e3520d86d9ab8a157754136b2f303, 7140.41759675, 0.1169
95, 0xea536b5be83a0762e42f34b5ec973253466ded5a, 7099.911, 0.1162
96, 0x5959eeacda3652cf3816af17242fc6cb78f66e5c, 6866.976, 0.1124
97, 0xcaabda10a3ac99fc15f5b636aa18e6b4fd8db16d, 6690.816581947281321553, 0.1095
98, 0x3fd9d0fe3d9b5cf7cd2ae56c16aec5b672e7296b, 6618.01508517, 0.1083
99, 0x54eeb2600cf9144f1d096c562be7f623395f3e80, 6544.387389146149268523, 0.1071
100, 0x727ee45e05ec854d82fdc76cec9324aeee399cf5, 6514.612, 0.1066
101, 0x5ca9120fa24ee977039812848b376de6beb3936b, 6484.525562100360353152, 0.1061
102, 0xcd7f6484710d5321fd9afbc9159c182d39a08e3c, 6480.12262, 0.1061
